run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
362,.0054839,.0304935,-.0001757,-.000926,-1.60e-06,7.12e-06,-2.46e-09,-3.83e-09
363,.0188909,-.0010262,-.0008115,-.0002318,.0000201,.0000141,-8.29e-09,-5.53e-09
364,.0063414,.0212639,-.0001608,-.0007358,7.94e-06,.0000127,-3.35e-09,-5.23e-09
365,.0039825,.0226183,-.0001374,-.0005629,6.15e-06,.0000366,-2.99e-09,-1.08e-08
366,.0188568,.0569441,-.0006924,-.001458,.0000477,.000032,-1.12e-08,-1.11e-08
367,.0123409,.0311222,-.0005816,-.0009035,.0000112,.0000337,-3.98e-09,-9.17e-09
368,.0071171,.0070035,-.0002339,-.000578,.0000222,.0000219,-6.63e-09,-5.78e-09
369,-8.12e-06,.0088502,.0000744,-.0003637,.0000309,.0000368,-8.87e-09,-9.86e-09
370,.0056667,.0171244,-.0001609,-.0005053,8.67e-06,.0000437,-9.97e-10,-9.02e-09
371,.0076333,.0431474,-.0003092,-.0011555,.0000391,-2.47e-06,-8.06e-09,1.28e-10
372,.0114084,.0316509,-.0004681,-.0008437,-.0000165,.0000146,1.61e-09,-4.32e-09
373,.0074038,.0069459,-.0001312,-.0005059,-3.20e-06,.0000251,-4.21e-09,-7.26e-09
374,.0029311,.0318121,-.0001921,-.0008098,.0000433,.0000402,-1.02e-08,-8.63e-09
375,.0124744,.0137226,-.0005842,-.0005718,-.0000274,7.86e-06,7.59e-09,-4.97e-09
376,.0109656,.0154467,-.0005523,-.0005292,.0000283,.0000277,-9.05e-09,-8.76e-09
377,.011105,.0326494,-.0005261,-.0009014,.0000361,.0000196,-9.74e-09,-7.75e-09
378,.008889,.0151318,-.0004566,-.0006504,4.10e-06,.0000118,7.55e-11,-2.55e-09
379,.0059002,.0187241,-.0002286,-.0005411,.000047,.0000284,-1.28e-08,-8.49e-09
380,.0066212,-.0019795,-.0002427,-.0001188,.0000232,.0000155,-4.68e-09,-4.90e-09
381,.008783,.0160793,-.0003247,-.0006285,.0000143,.00006,-2.27e-09,-1.84e-08
382,.0135273,.0365971,-.0003548,-.0011012,-3.54e-06,.0000221,1.69e-11,-4.86e-09
383,.0059282,.0098974,-.0001718,-.0006286,.0000203,3.44e-06,-5.77e-09,-2.49e-09
384,.0104951,.036884,-.0004246,-.000988,.0000127,.0000258,-3.27e-09,-1.03e-08
385,.0212413,.0149635,-.0006883,-.0005535,-.0000225,.0000496,9.84e-10,-1.75e-08
386,.0119993,.0340355,-.0004853,-.0010689,7.77e-06,.0000217,-3.54e-09,-7.88e-09
387,.0041745,.0128891,-.0002018,-.0004737,.0000305,.0000311,-5.63e-09,-9.98e-09
388,.0083342,.012155,-.0002766,-.0004715,6.87e-06,.0000278,5.32e-10,-9.88e-09
389,.0080612,.0273357,-.00022,-.0008352,-5.42e-06,.000017,2.08e-09,-4.19e-09
390,.0082923,.0287194,-.0002026,-.0008067,-.0000151,.0000167,2.56e-09,-4.84e-09
391,.0072111,.0517092,-.0003316,-.0012037,.0000124,.0000243,-3.71e-09,-5.10e-09
392,.0172691,.0493131,-.0007471,-.0013938,-6.19e-06,.0000275,-2.24e-09,-6.31e-09
393,.0082565,.0198093,-.0002361,-.0005785,.0000163,.000024,-5.05e-09,-9.56e-09
394,-.0017359,.0497694,.0000976,-.0011941,-.0000181,.0000512,5.54e-09,-1.37e-08
395,.0099971,.017465,-.0003834,-.000568,.0000395,.0000284,-1.05e-08,-7.34e-09
396,.0033088,.0055391,-.0000382,-.0003302,.0000198,.0000362,-2.53e-09,-1.11e-08
397,.0094898,.0134975,-.0003618,-.0006041,7.10e-06,.0000204,-2.88e-09,-5.67e-09
398,.0189567,.0439471,-.0004252,-.0011133,-4.53e-06,3.54e-06,-3.85e-09,-3.39e-09
399,.015681,.0484252,-.0005227,-.0012101,.0000161,.0000284,-8.04e-09,-8.82e-09
400,.0115238,.0177558,-.0004104,-.0006511,2.26e-06,.0000342,-2.89e-10,-7.24e-09
401,.0119692,.0161258,-.0002892,-.0005668,.0000222,.0000279,1.29e-10,-1.02e-08
402,.0104902,.0424959,-.0004949,-.0011444,-7.35e-06,.0000339,3.21e-09,-8.42e-09
403,.0098517,.0096616,-.0003617,-.0005909,.0000259,.0000266,-5.36e-09,-6.30e-09
404,.0102634,.0103515,-.0003476,-.0004786,3.54e-06,.0000389,-3.43e-09,-1.43e-08
405,.0085854,.016747,-.0003592,-.0007218,-1.32e-07,.0000269,-1.31e-09,-6.54e-09
406,.0108839,.0445536,-.0002832,-.0012007,-1.54e-07,.0000272,-2.47e-09,-6.90e-09
407,.0044928,.0285438,-.0003271,-.0006728,.0000315,8.82e-06,-8.65e-09,-2.91e-09
408,.0075735,.0295632,-.0002454,-.0007835,.0000184,.0000557,-2.90e-09,-1.46e-08
409,.0073985,.0129372,-.000152,-.0005399,.0000286,.0000292,-1.01e-08,-9.06e-09
410,.0064296,.0150205,-.0002067,-.0004825,1.69e-06,7.74e-06,-1.32e-09,-4.40e-10
411,.0087025,.0318048,-.0003776,-.0008195,-6.86e-06,.0000472,3.08e-10,-1.14e-08
412,.0056886,.0791403,-.0002756,-.0017514,.000027,.0000261,-1.17e-08,-7.00e-09
413,.0038339,.0060445,-.0001162,-.0002544,3.84e-06,.0000192,-2.38e-09,-6.37e-09
414,.0163061,.0208477,-.0006342,-.000603,-2.90e-06,.0000116,-1.99e-09,-3.76e-09
415,.012153,.0085253,-.0003829,-.0004015,.0000224,.0000502,-3.99e-09,-1.52e-08
416,.002183,.0271465,.0000449,-.0006934,-7.92e-06,.0000241,3.64e-11,-6.81e-09
417,.0111285,.0490748,-.000339,-.0012123,.000018,.0000439,-2.96e-09,-1.30e-08
418,.0016421,.0180868,-.0000687,-.0007411,.000015,.0000474,-2.14e-09,-1.31e-08
419,.0063141,.0681496,-.0002967,-.0016915,5.95e-06,.0000179,-3.46e-09,-4.94e-09
420,.009554,.0602874,-.0005004,-.0012375,-3.24e-06,.0000386,1.08e-09,-1.22e-08
421,.018399,.0436632,-.0004978,-.0012242,.0000108,4.59e-06,-3.09e-09,-3.72e-09
422,.0113452,.0478086,-.0003869,-.0011974,-.0000458,.000016,1.21e-08,-5.87e-09
423,.0037298,-.0093497,-.0002207,.0000512,.0000162,.0000266,-1.38e-09,-6.90e-09
424,.0192775,.0516864,-.000647,-.0013341,5.44e-07,.0000158,-2.34e-09,-5.18e-09
425,.0140027,-.000793,-.0004815,-.0002815,9.54e-06,.0000127,-3.65e-09,-4.24e-09
426,.0081108,.0082707,-.0002584,-.0004993,-.0000131,.0000499,3.34e-09,-1.15e-08
427,.0082017,.0195313,-.0003911,-.0005119,5.01e-06,.0000279,-5.67e-09,-8.69e-09
428,.0006459,.0342422,-.0001679,-.0009258,.0000396,.0000253,-1.40e-08,-8.21e-09
429,.0074964,.0228586,-.0002731,-.0006894,.000025,.0000412,-8.57e-09,-1.36e-08
430,.0156059,.0149452,-.0005811,-.0005727,.0000338,.0000452,-1.00e-08,-1.16e-08
431,.0079233,.0145962,-.0001934,-.0005405,7.35e-06,2.44e-06,-3.11e-09,-3.25e-09
432,.0061825,.0560774,-.0002707,-.0012609,9.22e-06,.000016,-3.01e-09,-4.82e-09
433,.0132399,.01677,-.0005231,-.0006513,.0000112,.0000138,-3.82e-09,-5.44e-09
434,.0062947,.0123496,-.0002895,-.0004683,.0000236,.0000353,-7.76e-09,-1.25e-08
435,.0115423,.044517,-.0004008,-.0011646,-4.75e-06,.0000241,2.71e-09,-6.00e-09
436,.0076708,.0401654,-.0002423,-.0011938,.0000329,.0000159,-8.99e-09,-4.49e-09
437,.0095922,.0056679,-.0004341,-.0003118,-5.55e-07,9.97e-06,3.98e-09,-3.66e-09
438,.0084633,.0274002,-.0002337,-.0007312,-.0000145,.0000375,-4.22e-10,-1.02e-08
439,.010843,.0457678,-.0004596,-.001163,4.06e-06,.0000236,-3.17e-09,-7.51e-09
440,.01073,.00568,-.0003524,-.0003624,4.28e-06,.0000115,-1.99e-09,-6.01e-09
441,.0106315,.0100904,-.0004767,-.0004333,.0000165,.0000211,-3.71e-09,-6.09e-09
442,.004398,.0385047,-.0001685,-.0010365,-2.32e-06,-5.17e-08,9.78e-10,-8.42e-10
443,.004839,.0165484,-.0002399,-.0004648,.0000276,.0000369,-4.61e-09,-7.83e-09
444,.0042092,.0433081,-.0001768,-.0011419,1.96e-06,.0000328,6.30e-10,-7.82e-09
445,.0065354,.031901,-.0001371,-.0009465,.0000391,-5.23e-07,-1.00e-08,-2.06e-09
446,.0074781,.0183499,-.0004559,-.0005151,6.30e-07,.0000394,-3.05e-10,-1.07e-08
447,.009442,-.0035917,-.0003659,-.0001899,.0000227,.0000106,-4.78e-09,-5.27e-09
448,.0062532,.0256948,-.0001431,-.0008017,-.000013,.0000289,5.23e-09,-7.42e-09
449,.0059132,.0413486,-.0001122,-.0009477,3.82e-06,.0000789,-1.63e-09,-2.06e-08
450,.0099628,.0036287,-.0002127,-.0003492,.0000166,.0000263,-6.49e-09,-9.59e-09
451,.003446,.0237446,-.0002243,-.0007881,.0000243,.0000225,-5.21e-09,-6.08e-09
452,.0080272,-.0152167,-.0002741,.0001789,2.89e-06,.000034,-3.47e-09,-1.02e-08
453,.0059296,.0273651,-.000242,-.0008529,5.11e-06,.0000261,-2.61e-11,-7.56e-09
454,.0082068,.0813956,-.0001287,-.0019617,-8.24e-06,.0000245,2.30e-09,-9.12e-09
455,.0077106,.0204057,-.0002924,-.0005558,3.93e-06,.0000463,-2.19e-10,-1.49e-08
456,.008984,.0437294,-.0003474,-.001107,.0000359,.0000443,-5.69e-09,-9.53e-09
457,.009882,.0190084,-.0005019,-.0005828,.000018,.0000403,-6.46e-09,-1.05e-08
458,.0119628,.064293,-.0002901,-.0015563,-.000023,-9.58e-06,5.05e-09,1.17e-09
459,.006629,.0485813,-.0002231,-.0010551,3.68e-06,.0000211,-1.14e-09,-6.68e-09
460,-.0013065,.0316317,8.70e-07,-.0007798,.000029,.0000314,-4.62e-09,-8.83e-09
461,.0072036,.0326893,-.0002878,-.0008975,.0000139,.000031,-3.26e-09,-8.10e-09
462,.0028722,.0462085,-.0002391,-.001002,.0000307,.0000241,-3.28e-09,-8.14e-09
463,.0054707,-.0048711,-.0002322,.0000183,3.35e-06,9.03e-06,-2.17e-09,-4.17e-09
464,.0155643,.0078929,-.0004412,-.0004657,-2.63e-06,8.27e-06,-2.68e-09,-3.52e-09
465,.0094134,.0275187,-.0005425,-.0006048,-3.02e-06,.0000396,9.79e-10,-9.90e-09
466,.0119243,.0212778,-.0003224,-.0008333,-6.36e-06,.0000307,6.24e-10,-9.71e-09
467,.0031475,.0027196,.0000845,-.0002607,.0000403,.0000271,-1.13e-08,-1.19e-08
468,.0042107,.0178941,-.0001564,-.0006349,-.0000327,.000027,1.15e-08,-9.52e-09
469,.0048033,.0228855,-.0001481,-.0007302,.0000347,.0000234,-7.80e-09,-6.65e-09
470,.0091486,.0287338,-.0003547,-.0008961,-.0000109,.0000261,1.30e-09,-9.01e-09
471,.0051613,.041771,-.0002464,-.0009916,.0000108,.0000223,-2.95e-09,-6.09e-09
472,.0203317,.023112,-.0006777,-.0007595,.0000173,.0000247,-8.25e-09,-7.72e-09
473,.0087865,.0250768,-.0002178,-.0008139,-7.47e-06,.0000225,3.08e-09,-8.00e-09
474,.007884,.0312432,-.000397,-.0008349,-4.46e-06,.0000176,-8.85e-10,-5.39e-09
475,.008647,.0257103,-.0003633,-.0007574,-1.82e-06,.0000576,8.22e-10,-1.77e-08
476,.0143555,.0456721,-.0004567,-.0012457,.000013,.0000275,-3.52e-09,-9.60e-09
477,.0127739,.034479,-.0002437,-.0008994,.0000103,.0000412,-2.03e-09,-1.30e-08
478,.0075995,.0361023,-.0002279,-.0009837,8.06e-06,.0000133,-3.18e-09,-5.16e-09
479,.0088167,.0434583,-.0003107,-.001192,-6.26e-06,.0000171,-4.00e-10,-6.48e-09
480,.0125935,.0527713,-.0004624,-.0013642,-6.23e-07,.0000475,-4.15e-09,-1.12e-08
481,.0071252,.0458791,-.0003346,-.0011315,.000042,.0000424,-1.31e-08,-9.22e-09
482,.0102464,.0200292,-.0002716,-.0007063,.0000155,.0000175,-4.58e-09,-4.45e-09
483,.005534,.0189752,-.0000897,-.0005444,6.93e-06,.0000143,-1.45e-09,-4.78e-09
484,.0054968,.0172135,-.0001337,-.0006218,.0000193,.0000319,-4.49e-09,-8.71e-09
485,.0157738,.0271967,-.0004562,-.0009193,.0000159,6.85e-06,-4.74e-09,-2.44e-09
486,.0014065,.0175902,-.0001158,-.000489,.0000207,.0000495,-5.18e-09,-1.29e-08
487,.0090283,.008848,-.0001524,-.0003855,.0000265,.0000504,-8.89e-09,-1.38e-08
488,.0116927,.027615,-.0004674,-.0007577,-6.50e-06,4.97e-06,-9.69e-10,-3.30e-09
489,.0105401,.0777229,-.0002897,-.0018987,-.0000195,.0000302,1.32e-09,-8.66e-09
490,.004761,.0292352,-.0001066,-.0008595,.0000358,.0000191,-9.31e-09,-4.16e-09
491,.0072263,.0194115,-.0001819,-.0007043,6.87e-06,.0000326,-4.14e-09,-7.84e-09
492,.0027355,.0073801,-.0000499,-.0004469,2.29e-07,8.44e-06,1.97e-10,-1.49e-09
493,.006356,.0090384,-.0000639,-.0004302,.000016,.0000347,-7.00e-09,-6.78e-09
494,.0052981,.050901,-.0000587,-.0012441,-.000041,.0000153,1.32e-08,-3.36e-09
495,.0072366,.0377448,-.0002464,-.0008872,.0000324,.0000207,-8.40e-09,-5.69e-09
496,.0094077,-.0014341,-.0003363,-.0002834,1.79e-06,.0000214,-3.27e-09,-6.02e-09
497,.0101444,.0961297,-.0004341,-.0023194,-5.07e-07,.0000319,-1.84e-09,-1.04e-08
498,.0150112,.0462387,-.0004225,-.0011833,-.0000214,.0000346,5.38e-09,-1.00e-08
499,.0084945,.0292452,-.0002032,-.0009034,-1.78e-06,.0000372,1.42e-09,-1.21e-08
500,.0043798,.0005523,-.0000626,-.000222,7.94e-06,.0000274,-3.58e-10,-9.78e-09
501,.0082061,.0343357,-.0002208,-.0010659,.0000196,4.43e-06,-7.12e-09,-2.32e-09
502,.0113461,.0162343,-.0004152,-.0006258,.0000382,6.64e-06,-1.13e-08,-2.17e-09
503,.0039545,.0732913,-.000222,-.0015276,9.45e-07,.0000445,-1.39e-09,-1.30e-08
504,.006181,.0260894,-.0000808,-.0007504,2.11e-06,.0000172,-4.93e-09,-4.70e-09
505,.0071272,-.0255665,-.0004143,.0004301,.0000196,8.51e-06,-3.60e-09,-2.83e-09
506,.0112099,.0249348,-.0004292,-.0008615,.0000264,.0000172,-7.83e-09,-3.35e-09
507,.0154322,.0187334,-.0006152,-.0006189,8.98e-06,.0000141,-3.36e-09,-3.00e-09
508,.0099352,.0112566,-.0004507,-.0004468,.0000383,.0000331,-6.22e-09,-9.88e-09
509,.0084014,.0080287,-.0003166,-.0005097,9.86e-06,4.01e-06,-5.56e-09,-2.58e-09
510,.0107599,.0454527,-.0004412,-.0011905,.0000202,.0000512,-5.10e-09,-1.44e-08
511,.0036028,.0131173,-.0001907,-.0003033,8.47e-06,.0000296,-4.68e-10,-8.00e-09
512,.0105871,.0144904,-.000286,-.0005614,.0000105,.0000209,-4.84e-09,-5.52e-09
513,.0090004,.0274871,-.0004693,-.0008795,-.0000154,.0000418,-1.40e-09,-1.03e-08
514,.0098421,.0049726,-.0003224,-.000228,2.03e-06,.0000315,-1.29e-09,-7.34e-09
515,.0050245,.0033433,-.0003054,-.0003892,-.0000186,.0000364,4.37e-09,-8.66e-09
516,.0045256,.040046,-.0002703,-.0010107,.0000265,.0000345,-6.47e-09,-9.78e-09
517,.0083871,.0271859,-.0003701,-.0008625,.0000201,5.15e-06,-6.86e-09,-2.65e-09
518,.0122624,.053264,-.0004649,-.0012938,-5.39e-06,.000022,-6.36e-10,-6.40e-09
519,.0100752,.0234457,-.0003072,-.0007688,.0000137,.0000237,-3.03e-09,-7.23e-09
520,.0104226,.0389138,-.0004634,-.0010782,7.16e-06,7.39e-06,-3.50e-09,-6.40e-10
521,.0140853,.0740788,-.0004624,-.0018118,.00002,.0000246,-5.60e-09,-7.92e-09
522,.0153229,.0409231,-.0004711,-.001158,8.95e-07,.0000209,-4.39e-10,-8.06e-09
523,.0070838,.0346981,-.000128,-.0009683,.0000194,.0000119,-5.35e-09,-6.05e-09
524,.0003256,.1013079,-.0001485,-.0022578,7.80e-06,.0000422,-4.41e-09,-1.08e-08
525,.0059093,.0411126,-.0000658,-.001064,.0000186,.0000313,-3.41e-09,-1.04e-08
526,.0060977,.0247754,-.0001412,-.000797,.0000361,.0000192,-1.17e-08,-8.75e-09
527,.0120877,.0475519,-.0004118,-.0011231,-2.40e-06,.000023,1.27e-11,-6.28e-09
528,.0059941,.011314,-.0002224,-.0004504,2.77e-06,.0000298,-3.56e-09,-7.95e-09
529,.0087606,.0038481,-.0003512,-.0003167,-7.26e-06,.0000175,2.83e-09,-9.58e-09
530,.0057243,.0227588,-.000354,-.0007865,-6.65e-06,.0000328,1.63e-09,-1.14e-08
531,.0095191,.0501562,-.0002918,-.0012164,8.61e-06,.0000341,-8.22e-11,-1.22e-08
532,.0121016,-.0017266,-.0003051,-.0001789,-3.32e-07,.0000321,-2.03e-09,-9.10e-09
533,.0186801,.0295354,-.0006697,-.0009121,-1.19e-06,.0000363,6.77e-10,-1.32e-08
534,.0094321,.0457734,-.0003895,-.0011076,6.36e-06,.0000632,-2.74e-09,-1.54e-08
535,.0124502,.0045861,-.0004875,-.0003673,.0000125,.0000161,-4.39e-09,-2.69e-09
536,.0070693,.0099986,-.0002132,-.0004878,.0000202,.000048,-5.94e-09,-1.49e-08
537,.0132645,.0431223,-.0004705,-.0012614,.0000443,-8.12e-06,-7.11e-09,-5.36e-10
538,.0090849,.0279739,-.0003488,-.000896,.000041,-6.29e-06,-9.48e-09,1.40e-09
539,.0144923,.0624461,-.0003454,-.0015178,.0000176,.0000236,-8.63e-09,-5.68e-09
540,.004105,.0184939,-.0002501,-.0006058,.0000109,.0000164,-4.88e-09,-2.60e-09
541,.0037836,-.0069777,-.0002635,-.0000289,.0000146,.0000213,-2.58e-09,-5.57e-09
542,.0036423,.0033973,-.0000173,-.0001897,6.82e-06,.0000188,-2.58e-09,-7.05e-09
543,.0062108,.0586911,-.000216,-.0014437,4.64e-06,.0000386,-2.16e-09,-9.64e-09
544,.0069293,.011849,-.0002831,-.0004842,.0000258,.0000176,-8.53e-09,-5.88e-09
545,.0039817,.007575,-.0001511,-.0004896,6.63e-06,.0000253,-1.68e-10,-6.23e-09
546,.0075467,.0248236,-.0002528,-.0007406,-2.48e-06,.0000243,1.44e-10,-6.65e-09
547,.0093583,.0252803,-.0002699,-.0007911,-.0000108,.00003,-1.70e-09,-9.11e-09
548,.003535,.0308714,-.0001885,-.0009925,-.0000129,3.41e-06,1.16e-09,-5.46e-10
549,.0076387,.0002971,-.0005218,-.0002331,1.04e-06,.0000259,-1.41e-09,-4.76e-09
550,.0044697,.0139152,-.0002689,-.0005382,-9.09e-06,.0000427,-7.94e-10,-1.07e-08
551,.0061523,.0060371,-.0000781,-.0004637,.0000111,.0000266,-2.16e-09,-7.09e-09
552,.0058332,.0108464,-.0001867,-.0003396,-3.04e-06,.0000317,-9.20e-10,-9.15e-09
553,.0064429,.0132152,-.0002919,-.0005104,.0000133,.0000377,-3.75e-09,-1.38e-08
554,.0077448,.0185264,-.0002986,-.0007541,.0000217,.0000166,-4.03e-09,-5.29e-09
555,.0068071,-.0116354,-.0003957,-.0000751,-.0000135,.0000186,2.67e-10,-4.96e-09
556,.0073372,-.013811,-.0003111,.0000769,6.12e-06,.0000189,-2.96e-09,-5.62e-09
557,.0141684,.0391401,-.0004339,-.0011837,-7.68e-06,.000021,-1.91e-10,-1.05e-08
558,.0068552,.0114457,-.0001411,-.0004633,-1.14e-06,.0000387,4.64e-10,-1.12e-08
559,.009496,.0056815,-.0002442,-.0003872,-8.78e-06,.0000109,1.82e-10,-3.58e-09
560,.0079003,.0190182,-.0004019,-.0005318,.0000309,.0000275,-1.02e-08,-7.10e-09
