run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
620,.0095634,-.0102868,-.0097354,-.0121487,-.0085045,-.0214467,-.0081156,-.0019822,.0006387,.001457,.0080941,.004105,-.0005426,-.0000502,.0002346,.0003205,.000243,.0003413,.0002029,-.0001573,-.0000787,.0001227,-.0001984,-.0001821,-.0080592,-.0403023,-.0001392,.0003951
621,.0109802,-.0124035,-.0066308,-.0141264,-.0060485,-.0276393,-.0004417,-.0070359,-.0020566,-.0056261,.0058398,.0066007,-.000495,-.0002482,.0002855,.0004899,.0002285,.0004276,-.0001514,.0000375,.0001225,.0003403,-.0002596,-.0002405,.0016424,-.0602303,-.0002694,.0008067
622,.010176,.0087767,-.0105244,-.0066634,-.0113718,.006561,-.0015373,-.0268973,-.0024064,.0119714,.006897,.0083733,-.0005534,-.0002564,.0003115,.0002292,.0004299,-.0002034,-.0002225,.0002731,.0001367,-.0000524,-.0001095,-.0003098,-.008767,.0021218,-7.27e-06,-.0003198
623,.0126563,-.0210423,-.0121478,.0088135,-.0077833,-.0391211,.0004257,.0048973,.0038868,-.0095515,.0091144,.0030778,-.0004765,.0001405,.0005481,.000132,.0002162,.0007428,-.0002026,-.0000996,-.0001102,.0002972,-.0002555,-9.91e-06,.0061521,-.0529263,-.0002804,.001203
624,.0185913,-.0008373,-.0074142,.0075816,-.0032032,-.0388401,-.0020107,.010303,.0012626,-.0148809,-.0014016,.0133772,-.0008579,-.000378,.0002668,.0000448,.0000258,.0008103,-.0001546,-.0003164,-.0001991,.0003836,.0001741,-.0003885,.0058242,-.0232965,-.0007449,.0001559
625,.0126866,.0340943,-.0070618,.010196,-.0098249,-.0147837,-.0007548,.0162676,.0033415,-.0102667,.009137,.0068992,-.0005006,-.0010426,.0002897,-.0000404,.0003619,.0002359,-.0002749,-.0005124,-.0001515,.0004309,-.0003159,-.000268,.0075236,.0424067,-.0005914,-.0011965
626,.0077568,-.0053069,-.0176943,.0151601,-.007784,-.0373564,-.0014074,.007819,-.0017829,-.0230628,.0124644,.0011809,-.0003473,-.0000344,.0006275,-.0002711,.0001329,.00075,-.000147,-.0002783,-3.88e-06,.0006567,-.0004068,-.0001019,-.0084475,-.041566,-.0001447,.0007211
627,.0033878,.0024923,-.0139316,-.0106038,-.0108802,-.0023387,-.004134,-.0058867,-.0033781,.0006403,.0058166,-.0015081,-.0001289,-.0003594,.0003338,.0003784,.0003081,.0000495,-.0000118,-.0001393,-.0000882,.0001024,-.0002357,.000063,-.0231195,-.0172047,.0001773,.0000947
628,.0101879,-.0069005,-.0108643,.0005512,-.0093084,-.0226312,-.0051802,.0030971,-.0024681,-.0093332,.008062,.0110598,-.0004688,-.0001733,.0003504,.0001459,.0003248,.0003276,.0000416,-.0002448,.0001694,.0002257,-.0002687,-.000264,-.0095711,-.0241569,.0001486,.0000171
629,.0102932,-.0080865,-.0134533,-.0067914,-.0054992,-.041137,.0022177,-.0043217,-.004745,-.0103873,.0023709,.0080174,-.0005214,-.0001864,.0005382,.0002624,.0001637,.0006801,-.0002146,-.0000649,.0001243,.0003276,-.0000395,-.0002949,-.0088158,-.0627064,.0000508,.0007239
